split,id,landmark_index,ere,ere_mm,true_radial_error_px,true_radial_error_mm
validation,RBS20629407_6L,1,6.176613807678223,0.4328020215034485,4.4721360206604,0.31336748600006104
validation,RBS20629407_6L,2,5.634639739990234,0.39482539892196655,4.242640495300293,0.2972865104675293
validation,RBS20629407_6L,3,5.396386623382568,0.37813085317611694,2.8284270763397217,0.19819100201129913
validation,RBS20629407_6L,4,5.477213382720947,0.38379451632499695,4.242640495300293,0.2972865104675293
validation,RBS20629407_6L,5,5.425231456756592,0.38015198707580566,3.1622776985168457,0.2215842753648758
validation,RBS20629407_6L,6,5.986767292022705,0.4194992184638977,3.1622776985168457,0.2215842753648758
validation,RBS20629407_6L,7,5.888394832611084,0.412605881690979,6.0,0.420426607131958
validation,RBS17950552_3R,1,5.4297943115234375,0.38047176599502563,3.0,0.210213303565979
validation,RBS17950552_3R,2,5.849889278411865,0.40990838408470154,3.1622776985168457,0.2215842753648758
validation,RBS17950552_3R,3,5.50028133392334,0.3854106664657593,4.0,0.28028440475463867
validation,RBS17950552_3R,4,5.714390754699707,0.4004136323928833,5.385164737701416,0.37734442949295044
validation,RBS17950552_3R,5,5.372684478759766,0.3764698803424835,5.0,0.35035550594329834
validation,RBS17950552_3R,6,6.277895450592041,0.43989911675453186,3.0,0.210213303565979
validation,RBS17950552_3R,7,7.901687145233154,0.5536797046661377,13.0,0.9109243154525757
validation,RBS17538610_4R,1,7.319655895233154,0.5128962397575378,6.0,0.420426607131958
validation,RBS17538610_4R,2,8.227846145629883,0.5765343904495239,13.0,0.9109243154525757
validation,RBS17538610_4R,3,5.964059829711914,0.4179081916809082,3.605551242828369,0.25264495611190796
validation,RBS17538610_4R,4,7.081722259521484,0.49622443318367004,28.844409942626953,2.0211596488952637
validation,RBS17538610_4R,5,8.368682861328125,0.5864028334617615,8.5440034866333,0.5986877679824829
validation,RBS17538610_4R,6,5.05485200881958,0.35419902205467224,5.830951690673828,0.4085812270641327
validation,RBS17538610_4R,7,5.649345397949219,0.3958559036254883,3.0,0.210213303565979
validation,RBS18173385_6L,1,7.060920715332031,0.49476656317710876,8.0,0.5605688095092773
validation,RBS18173385_6L,2,5.755578994750977,0.40330004692077637,8.062257766723633,0.5649312734603882
validation,RBS18173385_6L,3,5.080894470214844,0.35602372884750366,3.0,0.210213303565979
validation,RBS18173385_6L,4,5.316572189331055,0.3725382685661316,7.6157732009887695,0.5336456298828125
validation,RBS18173385_6L,5,5.504379749298096,0.38569819927215576,10.0,0.7007110118865967
validation,RBS18173385_6L,6,5.859094619750977,0.41055336594581604,15.0,1.051066517829895
validation,RBS18173385_6L,7,9.567268371582031,0.6703891158103943,3.0,0.210213303565979
validation,RBS16982479_6L,1,5.572902679443359,0.3904992938041687,0.0,0.0
validation,RBS16982479_6L,2,7.808867454528809,0.5471761226654053,4.123105525970459,0.28891056776046753
validation,RBS16982479_6L,3,4.995292663574219,0.3500256836414337,2.8284270763397217,0.19819100201129913
