split,id,landmark_index,ere,ere_mm,true_radial_error_px,true_radial_error_mm
validation,RBS20629407_6L,1,8.920562744140625,0.6250736713409424,7.280109882354736,0.5101252794265747
validation,RBS20629407_6L,2,5.880622863769531,0.4120616316795349,6.7082037925720215,0.47005122900009155
validation,RBS20629407_6L,3,4.867214679718018,0.3410511016845703,7.6157732009887695,0.5336456298828125
validation,RBS20629407_6L,4,4.4121856689453125,0.3091668486595154,1.4142135381698608,0.09909550100564957
validation,RBS20629407_6L,5,5.589563369750977,0.3916670083999634,7.8102498054504395,0.547272801399231
validation,RBS20629407_6L,6,5.388840198516846,0.3776019513607025,5.0,0.35035550594329834
validation,RBS20629407_6L,7,5.77471923828125,0.4046407639980316,3.0,0.210213303565979
validation,RBS17950552_3R,1,5.8934807777404785,0.41296273469924927,3.0,0.210213303565979
validation,RBS17950552_3R,2,5.753844738006592,0.40317827463150024,3.605551242828369,0.25264495611190796
validation,RBS17950552_3R,3,5.71090030670166,0.4001687467098236,1.0,0.07007110118865967
validation,RBS17950552_3R,4,5.4911675453186035,0.3847721517086029,4.242640495300293,0.2972865104675293
validation,RBS17950552_3R,5,4.5826215744018555,0.3211093544960022,5.0,0.35035550594329834
validation,RBS17950552_3R,6,4.927635192871094,0.34528517723083496,11.0,0.7707821130752563
validation,RBS17950552_3R,7,7.816242218017578,0.5476927757263184,3.1622776985168457,0.2215842753648758
validation,RBS17538610_4R,1,5.683264255523682,0.398232638835907,11.0,0.7707821130752563
validation,RBS17538610_4R,2,6.3842949867248535,0.4473543167114258,0.0,0.0
validation,RBS17538610_4R,3,7.174525260925293,0.5027265548706055,3.605551242828369,0.25264495611190796
validation,RBS17538610_4R,4,12.23969841003418,0.8576487302780151,23.021728515625,1.613157868385315
validation,RBS17538610_4R,5,7.655005931854248,0.5363947153091431,8.5440034866333,0.5986877679824829
validation,RBS17538610_4R,6,5.491444110870361,0.38479140400886536,5.099019527435303,0.35729390382766724
validation,RBS17538610_4R,7,6.622513771057129,0.46404677629470825,3.0,0.210213303565979
validation,RBS18173385_6L,1,4.939316749572754,0.3461035490036011,8.0,0.5605688095092773
validation,RBS18173385_6L,2,6.033857345581055,0.4227990210056305,3.0,0.210213303565979
validation,RBS18173385_6L,3,5.030372619628906,0.3524835705757141,3.1622776985168457,0.2215842753648758
validation,RBS18173385_6L,4,4.761295795440674,0.3336293697357178,5.830951690673828,0.4085812270641327
validation,RBS18173385_6L,5,5.176661968231201,0.36273452639579773,5.830951690673828,0.4085812270641327
validation,RBS18173385_6L,6,6.213830947875977,0.43540966510772705,10.198039054870605,0.7145878076553345
validation,RBS18173385_6L,7,10.929849624633789,0.7658666372299194,11.180339813232422,0.7834187150001526
validation,RBS16982479_6L,1,5.989433765411377,0.4196862578392029,3.0,0.210213303565979
validation,RBS16982479_6L,2,6.567991733551025,0.460226446390152,4.242640495300293,0.2972865104675293
validation,RBS16982479_6L,3,5.949084281921387,0.41685909032821655,2.0,0.14014220237731934
validation,RBS16982479_6L,4,4.674426555633545,0.32754239439964294,7.8102498054504395,0.547272801399231
validation,RBS16982479_6L,5,4.692520618438721,0.32880982756614685,3.0,0.210213303565979
validation,RBS16982479_6L,6,5.62399435043335,0.3940792381763458,16.76305389404297,1.1746057271957397
validation,RBS16982479_6L,7,6.128612518310547,0.42943859100341797,13.0,0.9109243154525757
validation,RBS20145288_6L,1,6.718286514282227,0.47075748443603516,8.5440034866333,0.5986877679824829
validation,RBS20145288_6L,2,5.193017959594727,0.36388033628463745,5.385164737701416,0.37734442949295044
validation,RBS20145288_6L,3,4.562121391296387,0.3196728527545929,5.830951690673828,0.4085812270641327
validation,RBS20145288_6L,4,6.954984188079834,0.4873431622982025,5.0,0.35035550594329834
validation,RBS20145288_6L,5,4.487149238586426,0.31441956758499146,3.605551242828369,0.25264495611190796
validation,RBS20145288_6L,6,5.885476112365723,0.4124017357826233,16.278820037841797,1.1406749486923218
validation,RBS20145288_6L,7,5.593443870544434,0.39193862676620483,3.0,0.210213303565979
validation,RBS13258908_3R,1,6.164150238037109,0.4319286346435547,5.0,0.35035550594329834
validation,RBS13258908_3R,2,5.67791748046875,0.3978579044342041,5.385164737701416,0.37734442949295044
validation,RBS13258908_3R,3,5.975235462188721,0.4186913073062897,10.0,0.7007110118865967
validation,RBS13258908_3R,4,5.705633163452148,0.39980000257492065,5.830951690673828,0.4085812270641327
validation,RBS13258908_3R,5,5.397785663604736,0.3782288432121277,6.7082037925720215,0.47005122900009155
validation,RBS13258908_3R,6,5.362539291381836,0.37575894594192505,3.0,0.210213303565979
validation,RBS13258908_3R,7,5.069429874420166,0.355220228433609,5.830951690673828,0.4085812270641327
validation,RBS18480172_5L,1,4.849310874938965,0.33979663252830505,3.605551242828369,0.25264495611190796
validation,RBS18480172_5L,2,5.7015862464904785,0.3995164632797241,6.0,0.420426607131958
validation,RBS18480172_5L,3,4.970311641693115,0.3482750356197357,3.0,0.210213303565979
validation,RBS18480172_5L,4,5.758476257324219,0.40350261330604553,5.0,0.35035550594329834
validation,RBS18480172_5L,5,4.536961078643799,0.31791016459465027,5.830951690673828,0.4085812270641327
validation,RBS18480172_5L,6,6.207675933837891,0.43497878313064575,3.0,0.210213303565979
validation,RBS18480172_5L,7,6.319114685058594,0.44278743863105774,1.0,0.07007110118865967
validation,RBS18062285_6L,1,5.539242744445801,0.3881407678127289,5.0,0.35035550594329834
validation,RBS18062285_6L,2,5.968754291534424,0.41823717951774597,3.0,0.210213303565979
validation,RBS18062285_6L,3,4.575212478637695,0.32059016823768616,3.0,0.210213303565979
validation,RBS18062285_6L,4,7.003085613250732,0.4907139539718628,15.29705810546875,1.0718817710876465
validation,RBS18062285_6L,5,6.002580165863037,0.42060771584510803,6.7082037925720215,0.47005122900009155
validation,RBS18062285_6L,6,5.903949737548828,0.4136963486671448,3.0,0.210213303565979
validation,RBS18062285_6L,7,6.123477935791016,0.42907893657684326,2.0,0.14014220237731934
validation,RBS20021936_6L,1,5.220169544219971,0.36578306555747986,18.248287200927734,1.2786775827407837
